Matrix,Horizon_h,ROC_AUC_LOSO,PR_AUC_LOSO,Recall_LOSO,Precision_LOSO,MAE_LOSO,RMSE_LOSO,R2_LOSO
A,3,0.9969130324725444,0.7894246346853033,0.9809698738595706,0.278950213392031,1.574911135227116,2.0268010395873803,0.9466627890330424
A,6,0.9941752574848154,0.6873081771583882,0.9718407406372532,0.2019124194203727,2.166881272641077,2.7470390120299286,0.9018026041330716
A,12,0.9874007816909248,0.4814847563822155,0.9552473320707754,0.1337817513170673,2.5069067742467004,3.168903287036702,0.8696280934384507
A,24,0.9849768917584564,0.4747795330306024,0.9486745243323704,0.119196711846569,2.076732336877501,2.673364480719808,0.9070409711607748
B,3,0.9972836282635557,0.7818142387940031,0.9821870619236316,0.3003585277467222,1.388075185379287,1.7673817001852767,0.9586005742613828
B,6,0.9950955253970316,0.6616192182092526,0.9757530910185778,0.2219863466957499,1.7978211720000574,2.255650497617561,0.9325597858198242
B,12,0.9910519761006712,0.525937319108476,0.957370402620662,0.1656880376308633,1.9596400018662337,2.497358498466248,0.9172533144651152
B,24,0.9874736951501216,0.4759396526578279,0.9520567010941312,0.1315005914294666,2.022683775197574,2.581544881657776,0.9116510666987772
