station_id,horizon,frost_accuracy,frost_precision,frost_recall,frost_f1,frost_roc_auc,frost_pr_auc,frost_brier_score,frost_tn,frost_fp,frost_fn,frost_tp,frost_ece,temp_mae,temp_rmse,temp_r2,temp_mape
2,3h,0.9944645939308226,0.8258992805755395,0.7025703794369645,0.7592592592592593,0.9977885685102659,0.8606271283670164,0.003992649872360064,129641,242,486,1148,0.0019679559606052377,1.5415236881707466,1.9714641899777636,0.9532560953789906,25.893319831907665
2,6h,0.9931870371215232,0.8064784053156147,0.5942472460220318,0.6842847075405215,0.9965018387182747,0.7872571234759462,0.0050086759184381005,129647,233,663,971,0.0025406536016562317,2.0936814027322033,2.6388385669536474,0.9162542129426683,35.797983312339845
2,12h,0.9895367582200323,0.8341968911917098,0.19706242350061198,0.3188118811881188,0.9924391528224258,0.6352686238536088,0.007504573515186757,129810,64,1312,322,0.003608947932721639,2.466818137149509,3.068594881752322,0.8867537031622917,46.88478260996566
2,24h,0.9903114923647868,0.6714285714285714,0.4314565483476132,0.5253353204172876,0.9899616134268657,0.6125427455498477,0.007071907618614333,129517,345,929,705,0.0023178519396371724,2.0523241446248908,2.6141758969641598,0.9177995989268111,37.06203339600116
7,3h,0.9962210208566193,0.7770034843205574,0.686858316221766,0.7291553133514986,0.9982129217620647,0.8308183599567077,0.002685408528645293,130351,192,305,669,0.0016315241028327322,1.4565229777860824,1.8770898277554393,0.9538686186629507,21.472327264345275
7,6h,0.9958635582523534,0.8134110787172012,0.5728952772073922,0.672289156626506,0.9972505378857497,0.7761811393755543,0.0031562314246529324,130412,128,416,558,0.002028353430601604,1.901504928048262,2.4218009120924617,0.9232119939539492,27.138964054234894
7,12h,0.9938178665936673,0.6792873051224945,0.3131416837782341,0.42867182009838367,0.9930464197468561,0.5741647697124194,0.0045148693519233285,130390,144,669,305,0.002605940386408442,2.197692702769444,2.771802543727515,0.8994111404657573,34.81659774039058
7,24h,0.9934522723124658,0.6236323851203501,0.2926078028747433,0.39832285115303984,0.9891300905569287,0.4936407588791989,0.0050846947255660125,130350,172,689,285,0.0017223879758577745,2.0143677375374027,2.5796431499068135,0.9128607186069237,32.1574739486321
15,3h,0.994753529961906,0.8876298394711992,0.6221045665122436,0.7315175097276264,0.998028416608334,0.873038468644829,0.0038016520720251883,129887,119,571,940,0.0023184315129947293,1.631808769793908,2.066924964480777,0.9520126846446127,25.699747785648498
15,6h,0.9932706784068617,0.8883374689826302,0.4738583719391132,0.6180405697022011,0.9963512474662487,0.8063805330162905,0.005078830836840292,129913,90,795,716,0.0028833149162212487,2.2268585964075984,2.8069604194152666,0.9115007101632432,35.70956912995313
15,12h,0.9897420689235635,0.8491379310344828,0.13037723362011913,0.22604704532415376,0.9905405519539887,0.6260488488235607,0.0075957634132215405,129962,35,1314,197,0.004920219245391516,2.6599327406960636,3.3032475792539375,0.8774383610137657,47.60233098687166
