feature,importance,importance_pct,cumulative_pct
Hour (PST),2306,18.6,18.6
Air Temp (C),1968,15.87,34.47
Jul,1790,14.44,48.91
Sol Rad (W/sq.m),1227,9.9,58.809999999999995
Soil Temp (C),1111,8.96,67.77
Wind Speed (m/s),944,7.61,75.38
Wind Dir (0-360),698,5.63,81.00999999999999
Rel Hum (%),675,5.44,86.44999999999999
Dew Point (C),563,4.54,90.99
ETo (mm),536,4.32,95.31
Vap Pres (kPa),459,3.7,99.01
Precip (mm),123,0.99,100.0
